	ph	exon	ph_chr	ph_start	ph_end	ph_strand	exon_chr	exon_start	exon_end	exon_strand	strand
0	chr11_10823380_10828855_-	chr11_10823208_10823321_-	11	10823380	10828855	-	11	10823208	10823321	-	-1
3	chr11_85688812_85689020_-	chr11_85689113_85689136_-	11	85688812	85689020	-	11	85689113	85689136	-	-1
4	chr11_85688812_85689020_-	chr11_85689113_85689758_-	11	85688812	85689020	-	11	85689113	85689758	-	-1
5	chr11_85688870_85689035_-	chr11_85689113_85689136_-	11	85688870	85689035	-	11	85689113	85689136	-	-1
6	chr11_85688870_85689035_-	chr11_85689113_85689758_-	11	85688870	85689035	-	11	85689113	85689758	-	-1
7	chr11_86663508_86665693_-	chr11_86656721_86663512_-	11	86663508	86665693	-	11	86656721	86663512	-	-1
8	chr11_86663513_86665730_-	chr11_86656721_86663512_-	11	86663513	86665730	-	11	86656721	86663512	-	-1
9	chr12_110937295_110937329_-	chr12_110937340_110937351_-	12	110937295	110937329	-	12	110937340	110937351	-	-1
11	chr14_21731555_21736805_-	chr14_21731470_21731495_-	14	21731555	21736805	-	14	21731470	21731495	-	-1
12	chr14_24584507_24588360_+	chr14_24584385_24584502_+	14	24584507	24588360	+	14	24584385	24584502	+	1
13	chr14_24584507_24588360_+	chr14_24584395_24584502_+	14	24584507	24588360	+	14	24584395	24584502	+	1
14	chr14_24584507_24588360_+	chr14_24584397_24584502_+	14	24584507	24588360	+	14	24584397	24584502	+	1
15	chr14_24584507_24588360_+	chr14_24584415_24584502_+	14	24584507	24588360	+	14	24584415	24584502	+	1
16	chr14_24584507_24588360_+	chr14_24584416_24584502_+	14	24584507	24588360	+	14	24584416	24584502	+	1
17	chr14_24584507_24588360_+	chr14_24584417_24584502_+	14	24584507	24588360	+	14	24584417	24584502	+	1
18	chr14_24584507_24588360_+	chr14_24584418_24584502_+	14	24584507	24588360	+	14	24584418	24584502	+	1
19	chr14_24584507_24588360_+	chr14_24584434_24584502_+	14	24584507	24588360	+	14	24584434	24584502	+	1
20	chr14_24584507_24588360_+	chr14_24584447_24584502_+	14	24584507	24588360	+	14	24584447	24584502	+	1
21	chr14_24584507_24588360_+	chr14_24584455_24584502_+	14	24584507	24588360	+	14	24584455	24584502	+	1
22	chr14_24584507_24588360_+	chr14_24584484_24584502_+	14	24584507	24588360	+	14	24584484	24584502	+	1
23	chr14_36011086_36017710_-	chr14_36017714_36017744_-	14	36011086	36017710	-	14	36017714	36017744	-	-1
24	chr14_36011086_36017710_-	chr14_36017739_36017744_-	14	36011086	36017710	-	14	36017739	36017744	-	-1
25	chr14_65560624_65568265_-	chr14_65568264_65568290_-	14	65560624	65568265	-	14	65568264	65568290	-	-1
26	chr14_65560624_65568265_-	chr14_65568264_65568403_-	14	65560624	65568265	-	14	65568264	65568403	-	-1
27	chr14_65560760_65568229_-	chr14_65568264_65568290_-	14	65560760	65568229	-	14	65568264	65568290	-	-1
28	chr14_65560760_65568229_-	chr14_65568264_65568403_-	14	65560760	65568229	-	14	65568264	65568403	-	-1
29	chr14_73783122_73783229_-	chr14_73783098_73783130_-	14	73783122	73783229	-	14	73783098	73783130	-	-1
31	chr16_2810063_2818934_+	chr16_2809748_2810009_+	16	2810063	2818934	+	16	2809748	2810009	+	1
32	chr16_2810063_2818934_+	chr16_2809748_2810011_+	16	2810063	2818934	+	16	2809748	2810011	+	1
33	chr16_15026697_15029025_+	chr16_15026428_15026598_+	16	15026697	15029025	+	16	15026428	15026598	+	1
34	chr1_46074099_46082017_+	chr1_46072993_46074009_+	1	46074099	46082017	+	1	46072993	46074009	+	1
36	chr16_24551278_24551453_+	chr16_24551516_24552113_+	16	24551278	24551453	+	16	24551516	24552113	+	1
39	chr16_24551290_24551524_+	chr16_24551516_24552113_+	16	24551290	24551524	+	16	24551516	24552113	+	1
42	chr16_24551294_24551809_+	chr16_24551841_24552113_+	16	24551294	24551809	+	16	24551841	24552113	+	1
45	chr16_24551294_24551809_+	chr16_24551904_24552113_+	16	24551294	24551809	+	16	24551904	24552113	+	1
48	chr16_24551294_24551809_+	chr16_24551817_24552113_+	16	24551294	24551809	+	16	24551817	24552113	+	1
51	chr16_24551316_24551833_+	chr16_24551841_24552113_+	16	24551316	24551833	+	16	24551841	24552113	+	1
54	chr16_24551316_24551833_+	chr16_24551904_24552113_+	16	24551316	24551833	+	16	24551904	24552113	+	1
57	chr16_24551316_24551469_+	chr16_24551516_24552113_+	16	24551316	24551469	+	16	24551516	24552113	+	1
60	chr16_24551452_24551834_+	chr16_24551841_24552113_+	16	24551452	24551834	+	16	24551841	24552113	+	1
61	chr16_24551452_24551834_+	chr16_24551904_24552113_+	16	24551452	24551834	+	16	24551904	24552113	+	1
62	chr16_24551740_24551838_+	chr16_24551841_24552113_+	16	24551740	24551838	+	16	24551841	24552113	+	1
65	chr16_24551740_24551838_+	chr16_24551904_24552113_+	16	24551740	24551838	+	16	24551904	24552113	+	1
67	chr16_47495335_47497818_+	chr16_47497810_47497880_+	16	47495335	47497818	+	16	47497810	47497880	+	1
68	chr16_47495335_47497818_+	chr16_47497810_47497904_+	16	47495335	47497818	+	16	47497810	47497904	+	1
69	chr17_25634920_25635858_+	chr17_25634770_25634896_+	17	25634920	25635858	+	17	25634770	25634896	+	1
70	chr17_25635109_25635928_+	chr17_25634770_25635018_+	17	25635109	25635928	+	17	25634770	25635018	+	1
71	chr17_27412665_27416986_-	chr17_27412622_27412666_-	17	27412665	27416986	-	17	27412622	27412666	-	-1
73	chr17_30688554_30696980_+	chr17_30688487_30688534_+	17	30688554	30696980	+	17	30688487	30688534	+	1
74	chr17_30688597_30696920_+	chr17_30688487_30688534_+	17	30688597	30696920	+	17	30688487	30688534	+	1
75	chr17_30693776_30697327_+	chr17_30693684_30693776_+	17	30693776	30697327	+	17	30693684	30693776	+	1
78	chr17_30693776_30697327_+	chr17_30693696_30693776_+	17	30693776	30697327	+	17	30693696	30693776	+	1
81	chr17_46126230_46128121_+	chr17_46126135_46126226_+	17	46126230	46128121	+	17	46126135	46126226	+	1
82	chr17_46126230_46128121_+	chr17_46126146_46126226_+	17	46126230	46128121	+	17	46126146	46126226	+	1
83	chr2_20550448_20550543_-	chr2_20550358_20550382_-	2	20550448	20550543	-	2	20550358	20550382	-	-1
84	chr2_42488459_42488959_+	chr2_42488261_42488434_+	2	42488459	42488959	+	2	42488261	42488434	+	1
85	chr2_42488462_42490198_+	chr2_42488261_42488434_+	2	42488462	42490198	+	2	42488261	42488434	+	1
86	chr2_70452615_70455465_-	chr2_70455476_70455594_-	2	70452615	70455465	-	2	70455476	70455594	-	-1
87	chr2_102477277_102480211_+	chr2_102480283_102480513_+	2	102477277	102480211	+	2	102480283	102480513	+	1
88	chr2_153535508_153535571_-	chr2_153535570_153535623_-	2	153535508	153535571	-	2	153535570	153535623	-	-1
91	chr2_192265190_192267323_+	chr2_192267358_192267444_+	2	192265190	192267323	+	2	192267358	192267444	+	1
92	chr20_34322133_34328457_-	chr20_34328447_34328519_-	20	34322133	34328457	-	20	34328447	34328519	-	-1
94	chr20_34327311_34328422_-	chr20_34328447_34328519_-	20	34327311	34328422	-	20	34328447	34328519	-	-1
95	chr20_34327320_34328023_-	chr20_34328021_34328519_-	20	34327320	34328023	-	20	34328021	34328519	-	-1
96	chr20_34327477_34328332_-	chr20_34327025_34327469_-	20	34327477	34328332	-	20	34327025	34327469	-	-1
97	chr20_34327477_34328332_-	chr20_34327315_34327469_-	20	34327477	34328332	-	20	34327315	34327469	-	-1
98	chr20_34327507_34328399_-	chr20_34327025_34327469_-	20	34327507	34328399	-	20	34327025	34327469	-	-1
99	chr20_34327507_34328399_-	chr20_34327315_34327469_-	20	34327507	34328399	-	20	34327315	34327469	-	-1
100	chr20_34327510_34328663_-	chr20_34327025_34327469_-	20	34327510	34328663	-	20	34327025	34327469	-	-1
102	chr20_34327510_34328663_-	chr20_34327315_34327469_-	20	34327510	34328663	-	20	34327315	34327469	-	-1
104	chr20_34327514_34328329_-	chr20_34327025_34327469_-	20	34327514	34328329	-	20	34327025	34327469	-	-1
105	chr20_34327514_34328329_-	chr20_34327315_34327469_-	20	34327514	34328329	-	20	34327315	34327469	-	-1
106	chr20_34327548_34328415_-	chr20_34327025_34327469_-	20	34327548	34328415	-	20	34327025	34327469	-	-1
107	chr20_34327548_34328415_-	chr20_34327315_34327469_-	20	34327548	34328415	-	20	34327315	34327469	-	-1
108	chr20_34327548_34328415_-	chr20_34328447_34328519_-	20	34327548	34328415	-	20	34328447	34328519	-	-1
