ph	eClip	exon	RBP	gene_name	delta.psi.c	id	energy	spread	icSHAPE_delta_reactivity	evo_qvalue	n.ph.in.cluster
chr11_10823380_10828855_-	chr11_10828869_10828871_-	chr11_10823208_10823321_-	DDX59	EIF4G2	-0.14	157669	-16.8	5475		1	24
chr11_10823380_10828855_-	chr11_10828871_10828878_-	chr11_10823208_10823321_-	DDX59	EIF4G2	-0.14	157669	-16.8	5475		1	24
chr11_10823380_10828855_-	chr11_10828878_10828928_-	chr11_10823208_10823321_-	DDX59	EIF4G2	-0.14	157669	-16.8	5475		1	24
chr11_85688812_85689020_-	chr11_85688727_85688776_-	chr11_85689113_85689136_-	RBFOX2	PICALM	-0.38	186466	-15	208		0.237373226112085	18
chr11_85688812_85689020_-	chr11_85688727_85688776_-	chr11_85689113_85689758_-	RBFOX2	PICALM	-0.36	186466	-15	208		0.237373226112085	18
chr11_85688870_85689035_-	chr11_85688727_85688776_-	chr11_85689113_85689136_-	RBFOX2	PICALM	-0.38	186469	-15.1	165		1	16
chr11_85688870_85689035_-	chr11_85688727_85688776_-	chr11_85689113_85689758_-	RBFOX2	PICALM	-0.36	186469	-15.1	165		1	16
chr11_86663508_86665693_-	chr11_86665745_86665810_-	chr11_86656721_86663512_-	EFTUD2	FZD4	-0.5	186762	-19.1	2185		0.64178686442512	54
chr11_86663513_86665730_-	chr11_86665745_86665810_-	chr11_86656721_86663512_-	EFTUD2	FZD4	-0.5	186763	-20.6	2217		0.490197211065946	53
chr12_110937295_110937329_-	chr12_110937229_110937272_-	chr12_110937340_110937351_-	QKI	VPS29	0.29	246827	-21.5	34		0.905910324995264	7
chr12_110937295_110937329_-	chr12_110937229_110937272_-	chr12_110937340_110937351_-	QKI	VPS29	0.29	246827	-21.5	34		0.905910324995264	7
chr14_21731555_21736805_-	chr14_21736896_21736935_-	chr14_21731470_21731495_-	U2AF2	HNRNPC	-0.47	268838	-15.6	5250		1	34
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584385_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584395_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584397_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584415_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584416_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584417_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584418_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584434_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584447_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584455_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_24584507_24588360_+	chr14_24588373_24588423_+	chr14_24584484_24584502_+	PPIG	DCAF11	-0.16	271732	-15.7	3853		1	20
chr14_36011086_36017710_-	chr14_36011009_36011057_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281949	-16	6624		1	77
chr14_36011086_36017710_-	chr14_36011009_36011057_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281949	-16	6624		1	77
chr14_65560624_65568265_-	chr14_65560508_65560543_-	chr14_65568264_65568290_-	U2AF2	MAX	0.41	290470	-16	7641		0.786481341176471	89
chr14_65560624_65568265_-	chr14_65560508_65560543_-	chr14_65568264_65568403_-	U2AF2	MAX	0.42	290470	-16	7641		0.786481341176471	89
chr14_65560760_65568229_-	chr14_65560666_65560720_-	chr14_65568264_65568290_-	U2AF2	MAX	0.41	290481	-15.3	7469		0.352877928118505	87
chr14_65560760_65568229_-	chr14_65560666_65560720_-	chr14_65568264_65568403_-	U2AF2	MAX	0.42	290481	-15.3	7469		0.352877928118505	87
chr14_73783122_73783229_-	chr14_73783320_73783325_-	chr14_73783098_73783130_-	QKI	NUMB	-0.31	295542	-16.8	107		1	11
chr14_73783122_73783229_-	chr14_73783325_73783408_-	chr14_73783098_73783130_-	QKI	NUMB	-0.31	295542	-16.8	107		1	11
chr16_2810063_2818934_+	chr16_2818977_2819000_+	chr16_2809748_2810009_+	EFTUD2	SRRM2	-0.22	336780	-18.9	8871	1.17	0.714153859587903	15
chr16_2810063_2818934_+	chr16_2818977_2819000_+	chr16_2809748_2810011_+	EFTUD2	SRRM2	-0.21	336780	-18.9	8871	1.17	0.714153859587903	15
chr16_15026697_15029025_+	chr16_15029052_15029150_+	chr16_15026428_15026598_+	GRWD1	NPIPA1	-0.2	339840	-21.7	2328		0.712729638936667	72
chr1_46074099_46082017_+	chr1_46082027_46082065_+	chr1_46072993_46074009_+	NOL12	NASP	-0.14	34167	-15.4	7918		0.433351165600739	29
chr1_46074099_46082017_+	chr1_46082023_46082065_+	chr1_46072993_46074009_+	UCHL5	NASP	-0.23	34167	-15.4	7918		0.433351165600739	29
chr16_24551278_24551453_+	chr16_24551223_24551224_+	chr16_24551516_24552113_+	RBM15	RBBP6	-0.31	342596	-23.1	175		0.36201885395638	43
chr16_24551278_24551453_+	chr16_24551224_24551243_+	chr16_24551516_24552113_+	RBM15	RBBP6	-0.31	342596	-23.1	175		0.36201885395638	43
