ph	eClip	exon	RBP	gene_name	delta.psi.c	id	energy	spread	icSHAPE_delta_reactivity	evo_qvalue	n.ph.in.cluster
chr1_24105922_24114512_+	chr1_24105898_24105941_+	chr1_24112805_24112868_+	U2AF2	PITHD1	-0.59	10742	-15.8	8590		0.761904740669568	8
chr1_24989645_24998793_+	chr1_24989653_24989695_+	chr1_24989674_24989715_+	SF3A3	SRRM1	-0.26	11238	-15.8	9148		0.447305548678627	2
chr1_25570638_25571012_-	chr1_25570952_25571039_-	chr1_25570945_25570989_-	SF3A3	C1orf63	-0.47	11347	-17.1	374		0.854232316353741	3
chr1_25570638_25571012_-	chr1_25570952_25571039_-	chr1_25570981_25570989_-	SF3A3	C1orf63	-0.47	11347	-17.1	374		0.854232316353741	3
chr1_25570967_25571066_-	chr1_25570952_25571039_-	chr1_25570981_25570989_-	SF3A3	C1orf63	-0.47	11348	-18.9	99		0.434282627557463	2
chr10_70096929_70098905_+	chr10_70098882_70098922_+	chr10_70097373_70097753_+	U2AF2	HNRNPH3	-0.39	115468	-15.9	1976		0.814217483371244	52
chr10_70096970_70098539_+	chr10_70096949_70097001_+	chr10_70097373_70097753_+	U2AF2	HNRNPH3	-0.39	115470	-16.3	1569		0.643426624229382	49
chr10_79799947_79807960_+	chr10_79799933_79799969_+	chr10_79799959_79799983_+	U2AF1	RPS24	0.37	127500	-18	8013		0.616418153114268	12
chr10_79799947_79807960_+	chr10_79799933_79799969_+	chr10_79799962_79799983_+	U2AF1	RPS24	0.44	127500	-18	8013		0.616418153114268	12
chr10_97110736_97116866_-	chr10_97110710_97110770_-	chr10_97110966_97111133_-	RBFOX2	SORBS1	-0.3	130994	-17.7	6130		0.337281297583303	16
chr10_97110736_97116866_-	chr10_97110710_97110770_-	chr10_97110973_97111133_-	RBFOX2	SORBS1	-0.3	130994	-17.7	6130		0.337281297583303	16
chr10_99205990_99214335_+	chr10_99205937_99205996_+	chr10_99210114_99210293_+	NCBP2	ZDHHC16	-0.69	132438	-18.1	8345		1	33
chr10_103868111_103877828_-	chr10_103868115_103868143_-	chr10_103874163_103874703_-	RBM15	LDB1	-0.3	138685	-29.4	9717		0.53721049801707	342
chr10_103868112_103877502_-	chr10_103868115_103868143_-	chr10_103874163_103874703_-	RBM15	LDB1	-0.3	138686	-24.3	9390		1	337
chr10_111892018_111894373_+	chr10_111892012_111892054_+	chr10_111892063_111892158_+	QKI	ADD3	0.71	141680	-15.6	2355		1	29
chr10_111892018_111894373_+	chr10_111892012_111892054_+	chr10_111892063_111892485_+	QKI	ADD3	0.8	141680	-15.6	2355		1	29
chr10_111892035_111894026_+	chr10_111892012_111892054_+	chr10_111892063_111892158_+	QKI	ADD3	0.71	141681	-16	1991		0.543895022618359	25
chr10_111892035_111894026_+	chr10_111892012_111892054_+	chr10_111892063_111892485_+	QKI	ADD3	0.8	141681	-16	1991		0.543895022618359	25
chr10_121335098_121342204_-	chr10_121335106_121335149_-	chr10_121339983_121340050_-	LSM11	TIAL1	0.16	148563	-15.9	7106		0.443129215784611	77
chr10_121335098_121342204_-	chr10_121335106_121335149_-	chr10_121339983_121340358_-	LSM11	TIAL1	0.22	148563	-15.9	7106		0.443129215784611	77
chr10_121335124_121340632_-	chr10_121335106_121335149_-	chr10_121339983_121340050_-	LSM11	TIAL1	0.16	148565	-16.2	5508		1	75
chr10_121335124_121340632_-	chr10_121335106_121335149_-	chr10_121339983_121340358_-	LSM11	TIAL1	0.22	148565	-16.2	5508		1	75
chr10_124184469_124190518_+	chr10_124184447_124184506_+	chr10_124187792_124187936_+	PRPF8	PLEKHA1	-0.35	148913	-15.1	6049		1	13
chr10_124186541_124190195_+	chr10_124186515_124186566_+	chr10_124187792_124187936_+	PRPF8	PLEKHA1	-0.35	148914	-18.8	3654		1	11
chr11_6499565_6501313_-	chr11_6499564_6499625_-	chr11_6499809_6499882_-	HNRNPK	ARFIP2	0.51	155774	-15.6	1748		1	68
chr11_6499565_6501662_-	chr11_6499564_6499625_-	chr11_6499809_6499882_-	HNRNPK	ARFIP2	0.51	155775	-15.4	2097		0.227827553657653	71
chr11_6499609_6501694_-	chr11_6499564_6499625_-	chr11_6499809_6499882_-	HNRNPK	ARFIP2	0.51	155777	-15.3	2085		1	69
chr11_57549019_57558871_+	chr11_57558857_57558906_+	chr11_57556509_57556627_+	PTBP1	TMX2-CTNND1	0.65	175625	-17	9852		1	76
chr11_57556151_57558886_+	chr11_57558857_57558906_+	chr11_57556509_57556627_+	PTBP1	TMX2-CTNND1	0.65	175648	-23.1	2735		1	32
chr11_57556471_57558871_+	chr11_57558857_57558906_+	chr11_57556509_57556627_+	PTBP1	TMX2-CTNND1	0.65	175653	-17	2400		0.168241668777525	27
chr11_57558862_57566790_+	chr11_57558857_57558906_+	chr11_57558964_57559145_+	PTBP1	CTNND1	0.54	175658	-16	7928		1	24
chr11_57558862_57566790_+	chr11_57558857_57558906_+	chr11_57558966_57559145_+	PTBP1	CTNND1	0.55	175658	-16	7928		1	24
chr11_57558862_57566790_+	chr11_57558857_57558906_+	chr11_57559031_57559145_+	PTBP1	CTNND1	0.55	175658	-16	7928		1	24
chr11_57558862_57566790_+	chr11_57558820_57558905_+	chr11_57558964_57559145_+	U2AF2	CTNND1	0.47	175658	-16	7928		1	24
chr11_57558862_57566790_+	chr11_57558820_57558905_+	chr11_57558966_57559145_+	U2AF2	CTNND1	0.45	175658	-16	7928		1	24
chr11_57558862_57566790_+	chr11_57558820_57558905_+	chr11_57559031_57559145_+	U2AF2	CTNND1	0.45	175658	-16	7928		1	24
